All,Všetky
"We don't have as many of these as you want.","Požadované množstvo nieje dostupné."
"You can't add this many to your cart.","Nemôžete pridať toľko položiek do košíka."
"You need to choose options for your item.","Musíte vybrať možnosti pre položku."
"We can't add the item to your cart.","Nieje možné pridať položku do košíka."
"Please enter an actual number in the ""Qty"" field.","V poli ""Množstvo"" zadajte skutočný počet."
"This product is assigned to another website.","Tento produkt je priradený k inej webovej stránke."
"You can add only enabled products.","Môžete pridať iba povolené produkty."
"You cannot upload this file.","Nieje možné nahrať zvolený súbor."
"The file is empty.","Súbor je prázdny."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Nezadali ste katalogové číslo produktu. Prosím, pre pridanie produktu <a href=""%1"">zadajte katalogové číslo</a>."
"You have not entered a product SKU.","Nezadali ste katalogové číslo produktu."
"We can't add a product to cart by id ""%1"".","Nemožno pridať produkt do košíka podľa id ""%1""."
"Something went wrong while reordering this product.","Došlo k chybe počas zoradenia produktu."
"We can't find this wish list.","Tento zoznam prianí nieje možné nájsť."
"You added %1 product to your shopping cart.","%1 produkt bol pridaný do Vašeho nákupného košíka."
"You added %1 products to your shopping cart.","%1 produkty boli pridané do Vašeho nákupného košíka."
"%1 product requires your attention.","%1 produkt vyžaduje vašu pozornosť."
"%1 products require your attention.","%1 produkty vyžadujú vašu pozornosť."
"Yes, for Specified Customer Groups","Áno, pre určitú zákaznícku skupinu"
"Yes, for Everyone","Áno, pre každého"
No,Nie
"Please upload the file in .csv format.","Prosím nahrajte súbor vo formáte .csv."
"%1 item(s) need your attention.","%1 položka(y) vyžaduje Vašu pozornosť."
"Apply Coupon Code","Použiť kód kupónu"
"Remove Coupon Code","Odstrániť kód kupónu"
"The coupon code ""%1"" is not valid.","Kód kupónu ""%1"" je neplatný."
"Shopping Cart Items","Položky nákupného košíku"
Qty,Množstvo
Subtotal,Medzisúčet
Discount,Zľava
"Row Subtotal","Medzisúčet riadku"
Action,Akcia
"No ordered items","Žiadne zoradené položky"
"Total %1 product(s)","Celkom %1 produkt(ov)"
Subtotal:,Medzisúčet:
"Please select","Prosím, vyberte"
"Move to Wish List","Pridať do zoznamu prianí"
"No item specified.","Nebola zvolená žiadna položka."
"Are you sure you want to remove this item?","Naozaj chcete odstrániť túto položku?"
"SKU number","Katalogové číslo"
"Upload File","Nahrať súbor"
"Your csv file must include ""sku"" and ""qty"" columns.","Csv súbor musí obsahovať stĺpce ""katalógove číslo"" a ""množstvo""."
Reset,Resetovať
"SKU: ","Katalógové číslo: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Len <span id=""%1_max_allowed"">%2</span> na sklade"
Item,Položka
"See price before order confirmation.","Pozrite si ceny pred potvrdením objednávky."
"What's this?","Čo to je?"
"Incl. Tax","Vrátane dane"
"Excl. Tax","Bez dane"
"Edit item parameters","Upraviť parametre položky"
Edit,Upraviť
"Remove item","Odstrániť položku"
"Products Requiring Attention","Produkty, ktoré si vyžadujú pozornosť"
"Add to Cart","Pridať do košíka"
Sku,"Katalógové číslo"
File,Súbor
"File extensions allowed: .csv","Povolené prípony: .csv"
"Add Row","Pridať riadok"
"Remove Row","Odstrániť riadok"
"Add Products By SKU","Pridať produkty podľa katalógového čísla"
"Shopping Cart Management","Správa nákupního košíka"
"View Shopping Cart","Prezrieť nákupný košík"
"View and modify Shopping Cart","Zobraziť a úpraviť nákupný košík"
"Order by SKU Settings","Zoradiť podľa nastavenia katalógového čísla"
"Enable Order by SKU on My Account in Storefront","Pololiť  zobraziť ""Zoradiť podľa katalógového čísla"" v Mojom účte v obchode"
"Customer Groups","Zákaznicke skupiny"
"Apply Coupon","Použiť kupón"
"Order by SKU Description","Zoradiť podla popisu katalógového čísla"
"Display a Link to Loading a Spreadsheet","Zobraziť odkaz na načítanie tabuľky"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Definuje, či bude zobrazený odkaz na Môj účet &gt; Zoradiť podľa katalógového čísla na widgete"
"Link Text","Text odkazu"
"The text of the link to the My Account &gt; Order by SKU page","Text odkazu na stránku Môj účet &gt; Zoradiť podľa katalógového čísla"
"Load a list of SKUs","Načítať zoznam katalógových čísiel"
"Order by SKU Template","Šablona stránky ""Zoradiť podľa katalógového čísla"""
"Please correct the data sent.","Prosím opravte chyby."
"Entity type model '%1' is not found","Model entít typu ""%1"" nebol nájdený"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Model typu Entita musí byť inštanciou \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export","K dispozícii nie sú žiadne typy produktov na exportovanie"
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","%1 class neimplementuje \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface"
"Sales Rule","Predajné pravidlá"
"Index sales rule","Indexovať predajné pravidlo"
"Related Search Terms","Výrazy súvisiace s vyhľadávaním"
"Add New Search Term","Pridať nový hľadaný výraz"
button_label,tlačidlo_názov
"Missing search engine parameter.","Chýba parameter pre vyhľadávanie."
"Successful! Test again?","Úspech! Testovať znova?"
"Connection failed! Test again?","Pripojenie zlyhalo! Testovať znova?"
"Enable Search Recommendations","Povoliť návrhy vo vyhľadávaní"
"When you enable this option your site may slow down.","Keď zapnete túto možnosť vaše stránky sa môžu spomaliť."
"Search Recommendations Count","Počet návrhov vo výsledku vyhľadávania"
"Show Results Count for Each Recommendation","Zobraziť počet výsledkov pre každý návrh"
"Enable Search Suggestions","Povoliť našepkávač vo výhľadávači"
"Search Suggestions Count","Počet návrhov v našepkávači"
"Show Results Count for Each Suggestion","Zobraziť počet výsledkov pre každý návrh našepkávača"
"Related search terms","Výrazy súvisiace s vyhľadávaním"
"Did you mean","Mysleli ste"
"Search Query","Hľadaný výraz"
Store,Obchod
Results,Výsledky
Uses,Použitia
"Redirect URL",Presmerovať
"Suggested Term","Navrhovaný výraz"
Yes,Áno
"RPC call failed, connection timed out after %time_out.","RPC volanie zlyhalo, pripojenie uplynulo po %time_out."
"Message has been rejected: %1","Správa odmietnutá: %1"
"Error while checking if topic is synchronous","Chyba pri kontrole synchrónnosti témy"
"Subscription status","Stav odberu"
"Sorry, there has been an error processing your request. Please try again later.","Prepáčte, došlo k chybe pri spracovaní vašej žiadosti. Skúste znova neskôr."
"There was an error save new configuration value.","Pri ukladaní novej hodnoty konfigurácie sa vyskytla chyba."
"--Please Select--","--Prosím vyberte--"
"Cannot find predefined integration user!","Nemožno nájsť preddefinovaného užívateľa integrácie!"
TestMessage,TestovaciaSpráva
"Apps and Games","Aplikácie a hry"
"Athletic/Sporting Goods","Atletické/športové potreby"
"Art and Design","Umenie a dizajn"
Analytics,Analytika
Configuration,Konfigurácia
Done,Hotovo
Retry,"Skúsiť znova"
"'Action Details - #' .","'Podrobnosti úkonu - #' ."
"%1 item(s) have been scheduled for update.""","%1 položky boli naplánované na aktualizáciu."""
"Bulk Actions Log","Denník hromadných úkonov"
"%1 item(s) are currently being updated.","%1 položiek sa aktualizuje."
"Task ""%1"": ","Úloha ""%1"": "
"%1 item(s) have been scheduled for update.","%1 položiek bolo naplánovaných na aktualizáciu."
"%1 item(s) have been successfully updated.","%1 položiek úspešne aktualizovaných."
"%1 item(s) failed to update","%1 položiek sa nepodarilo aktualizovať"
Details,Podrobnosti
"View Details","Zobraziť podrobnosti"
Dismiss,Zamietnuť
"Pending, in queue...","Čakajúce, vo fronte..."
"%1 items selected for mass update","%1 položiek na hromadnú aktualizáciu"
", %1 successfully updated",", %1 úspešne aktualizované"
", %1 failed to update",", %1 sa nepodarilo aktualizovať"
"Something went wrong.","Niečo sa pokazilo."
"Action Log","Denník činností"
"Bulk Actions","Hromadné akcie"
"Days Saved in Log","Dní uložené v denníku"
"Description of Operation","Popis operácie"
Summary,Zhrnutie
"Start Time","Čas začiatku"
"Items to Retry","Položky na opakovanie"
"To retry, select the items and click “Retry”.","Pre opakovanie vyberte položky a kliknite na ""Skúsiť znova""."
"Items That Can’t Be Updated.","Položky, ktoré sa nedajú aktualizovať."
Status,Stav
"Meta Information","Meta informácia"
Error,Chyba
"Dismiss All Completed Tasks","Vyradiť všetky dokončené úlohy"
"Action Details - #","Podrobnosti akcie - #"
"Number of Records Affected","Počet ovplyvnených záznamov"
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Niečo pokazilo pri zostavovaní zoznamu povolených zdrojov. Viac nájdete v denníku výnimiek."
"You created the order.","Vytvorili ste objednávku."
"Order saving error: %1","Chyba uloženia objednávky: %1"
"Please choose a payment method.","Vyberte spôsob platby."
"We can't process your order right now. Please try again later.","Nemôžeme spracovať vašu objednávku práve teraz. Skúste znova neskôr."
"An error occurred on the server. Please try to place the order again.","Na serveri sa vyskytla chyba. Prosím, skúste znova zadať objednávku."
"Credit Card: xxxx-%1","Kreditná karta: xxxx-%1"
"amount %1","suma %1"
failed.,zlyhalo.
successful.,úspešné.
"Authorize.Net Transaction ID %1.","Authorize.Net transakčné ID %1."
authorize,schváliť
"authorize and capture","schváliť a získať"
capture,získať
refund,vrátenie
void,anulované
"Gateway error: %1","Chyba brány: %1"
"Something went wrong in the payment gateway.","Niečo sa pokazilo v platobnej bráne."
"Invalid amount for capture.","Neplatná čiastka pre zachytenie."
"Payment capturing error.","Chyba získavania platby."
"Invalid transaction ID.","Neplatné transakčné ID."
"Payment voiding error.","Chyba anulácie platby."
"Invalid amount for refund.","Neplatná čiastka vrátenia."
"Payment refunding error.","Chyba vrátenia platby."
"The transaction was declined because the response hash validation failed.","Transakcia bola odmietnutá, pre zlyhanie odpovede overovacieho algoritmu."
"This payment didn't work out because we can't find this order.","Táto platba nefunguje, pretože nemôžeme nájsť túto objednávku."
"There was a payment authorization error.","Nastala chyba autorizácie platby."
"Please enter a transaction ID to authorize this payment.","Zadajte ID transakcie pre schválenie tejto platby."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Niečo sa pokazilo: zaplatená suma neodpovedá hodnote objednávky. Opravte to a skúste to znova."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Transakcia %1 schválená. Čiastka %2. Stav transakcie je ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transakcia %1 zrušená/odmietnutá. Stav transakcie je ""%2"". Čiastka %3."
"Authorize Only","Len schváliť"
"Authorize and Capture","Schváliť a získať"
"Unable to get transaction details. Try again later.","Nemožno získať detaily transakcie. Skúste znova neskôr."
"Electronic payments save the trees.","Elektronické platby zachrániť stromy."
"Credit Card Type","Typ kreditnej karty"
"Please Select","Prosím, vyberte"
"Credit Card Number","Číslo kreditnej karty"
"Expiration Date","Dátum expirácie"
"Card Verification Number","Overovacie číslo karty"
"Fraud Detection ","Odhaľovanie podvodov "
"FDS Filter Action","Akcia FDS filtra"
"AVS Response","AVS odpoveď"
"Card Code Response","Odozva kódu karty"
"CAVV Response","CAVV odpoveď"
"Fraud Filters","Filtre podvodov"
"Place Order",Objednať
"Sorry, but something went wrong. Please contact the seller.","Ľutujeme, niečo sa pokazilo. Kontaktujte predajcu."
Enabled,Zapnuté
"Payment Action","Platobná akcia"
Title,Titulok
"Transaction Key","Transakčný kľúč"
"Merchant MD5","MD5 obchodníka"
"New Order Status","Stav novej objednávky"
"Test Mode","Skúšobný mód"
"Gateway URL","URL brány"
"Transaction Details URL","URL detailov transakcie"
"Accepted Currency","Akceptovaná mena"
Debug,Ladenie
"Email Customer","E-mailovať zákazníkovi"
"Merchant's Email","E-mail obchodníka"
"Credit Card Types","Typy kreditnej karty"
"Credit Card Verification","Overenie kreditnej karty"
"Payment from Applicable Countries","Platba z dostupných krajín"
"Payment from Specific Countries","Platba z vybratých krajín"
"Minimum Order Total","Minimálna suma objednávky"
"Maximum Order Total","Maximálna suma objednávky"
"Sort Order","Poradie radenia"
"Cannot place order.","Objednávku nemožno vytvoriť."
"Unable to place order. Please try again later.","Nie je zadať objednávku. Skúste znova neskôr."
options,možnosti
"Invalid Form Key. Please refresh the page.","Neplatný kľúč Formuláru. Prosím obnovte stránku."
"You entered an invalid Secret Key. Please refresh the page.","Zadali ste neplatný tajný kľúč. Prosím, aktualizujte stránku."
"Cache Storage Management","Správa ukladacieho priestoru vyrovnávacej pamäte"
"Flush Magento Cache","Vyprázdnenie Magento vyrovnávacej pamäte"
"The cache storage may contain additional data. Are you sure that you want to flush it?","Vyrovnávacia pamäť môže obsahovať údaje. Ste si istí, že ju chcete vymazať?"
"Flush Cache Storage","Vyprázdniť vyrovnávaciu pamäť"
Invalidated,Zneplatnené
Orders,Objednávky
Amounts,Sumy
Bestsellers,Najpredávanejšie
"Most Viewed Products","Najviac prezerané produkty"
"New Customers","Noví zákazníci"
Customer,Zákazník
Guest,Hosť
Items,Položky
Total,Celkom
"Lifetime Sales","Celkový obrat"
"Average Order","Priemerná objednávka"
Average,Priemer
Views,Zobrazenia
Revenue,Príjem
Tax,Daň
Shipping,Doprava
"Images (.gif, .jpg, .png)","Obrázky (.gif, .jpg, .png)"
"Media (.avi, .flv, .swf)","Médiá (.avi, .flv, .swf)"
"All Files","Všetky súbory"
"Reset to Default","Nastaviť predvolené"
"All Store Views","Všetky zobrazenia obchodu"
"What is this?","Čo je toto?"
"Save Account","Uložiť účet"
"My Account","Môj účet"
"Account Information","Informácie o účte"
"User Name","Meno používateľa"
"First Name",Meno
"Last Name",Priezvisko
Email,E-mail
"User Email","Email používateľa"
"New Password","Nové heslo"
"Password Confirmation","Potvrdenie hesla"
"Interface Locale","Miestne rozhranie"
"Current User Identity Verification","Overenie identity aktuálneho užívateľa"
"Your Password","Vaše heslo"
"Save Cache Settings","Uložiť nastavenia vyrovnávacej pamäte"
"Catalog Rewrites","Prepisy katalógu"
Refresh,Obnoviť
"Images Cache","Cache obrázkov"
Clear,Vyčistiť
"Search Index","Index vyhľadávania"
Rebuild,Prestavať
"Inventory Stock Status","Stav skladových zásob"
"Rebuild Catalog Index","Prestavať index katalógu"
"Rebuild Flat Catalog Category","Prestavať kategóriu plochého katalógu"
"Rebuild Flat Catalog Product","Prestavať produkt plochého katalógu"
"Cache Control","Riadenie cache"
"All Cache","Všetky Cache"
"No change","Bezo zmeny"
Disable,Vypnúť
Enable,Zapnúť
"Add Design Change","Pridať zmenu dizajnu"
Delete,Zmazať
Save,Uložiť
"Edit Design Change","Upraviť zmenu dizajnu"
"New Store Design Change","Nová zmena dizajnu obchodu"
"General Settings","Základné nastavenia"
"-- Please Select --","-- Prosím vyberte --"
"Custom Design","Vlastný dizajn"
"Date From","Dátum od"
"Date To","Dátum do"
"Design Change","Zmena dizajnu"
General,Základné
"Delete %1 '%2'","Odstrániť %1 '%2'"
"Delete %1","Odstrániť %1"
"Block Information","Blok informácií"
"Backup Options","Možnosti zálohy"
"Create DB Backup","Vytvoriť zálohu DB"
"Delete Store","Odstrániť obchod"
"Delete Web Site","Zmazať webstránku"
"Save Web Site","Uložiť webstránku"
"Save Store","Uložiť obchod"
"Save Store View","Uložiť zobrazenie obchodu"
"Delete Store View","Odstrániť zobrazenie obchodu"
"Edit Web Site","Upraviť webstránku"
"New Web Site","Nová webstránka"
"Edit Store","Upraviť obchod"
"New Store","Nový obchod"
"Edit Store View","Upraviť zobrazenie obchodu"
"New Store View","Nové zobrazenie obchodu"
"Store Information","Údaje obchodu"
"Web Site",Webstránka
Name,Meno
Code,Kód
"Root Category","Hlavná kategória"
"Default Store View","Predvolené zobrazenie obchodu"
"Store View Information","Info o zobrazení obchodu"
Disabled,Vypnuté
"Web Site Information","Informácie o stránke"
"Default Store","Predvolený obchod"
"Set as Default","Nastaviť ako predvolené"
Stores,Obchody
"Create Website","Vytvoriť skupinu obchodov(website)"
"Create Store","Vytvoriť obchod"
"Create Store View","Vytvoriť zobrazenie obchodu"
Home,Domov
"Are you sure you want to do this?","Ste si istí, že chcete to chcete urobiť?"
"Add New Image","Pridať nový obrázok"
"Export block for grid %1 is not defined","Exportovací blok mriežky %1 nie je definovaný"
"Reset Filter","Resetovať filter"
Search,Hľadať
Any,Akékoľvek
"All Countries","Všetky krajiny"
From,Od
To,Do
"Date selector","Výber dátumu"
"[ deleted ]","[ zmazané ]"
"Select All","Vybrať všetko"
" [deleted]"," [zmazané]"
"We couldn't find any records.","Nedá sa nájsť žiadny záznam."
"Add New","Pridať nové"
"Invalid export type supplied for grid export block","Neplatný export typ pre mriežky vývoz blok"
"Please correct the column format and try again.","Opravte formát stĺpcov a skúste znova."
Submit,Potvrdiť
"Unknown block type","Neznámy typ bloku"
"Please correct the tab configuration and try again. Tab Id should be not empty","Prosím opravte konfiguráciu karty a skúste znova. Id karty musí byť zadané"
"Please correct the tab configuration and try again.","Prosím opravte konfiguráciu karty a skúste znova."
"You have logged out.","Odhlásili ste sa."
"The image cache was cleaned.","Obraz cache bol vyčistený."
"An error occurred while clearing the image cache.","Pri čistení obrazu cache sa vyskytla chyba."
"The JavaScript/CSS cache has been cleaned.","Vyrovnávacia pamäť pre JavaScript/CSS bola vyčistená."
"An error occurred while clearing the JavaScript/CSS cache.","Pri mazaní cache pre JavaScript/CSS sa vyskytla chyba."
"The static files cache has been cleaned.","Cache statických súborov bola vyčistená."
"You flushed the cache storage.","Vyprázdnili ste vyrovnávaciu pamäť."
"The Magento cache storage has been flushed.","Magento vyrovnávacia pamäť sa vyprázdnila."
"You can't change status of cache type(s) in production mode","Nemôžete meniť stav typov vyrovnávacej pamäte v režime produkcie"
"%1 cache type(s) disabled.","%1 cache typ(-y) vypnuté."
"An error occurred while disabling cache.","Pri zakazovaní cache sa vyskytla chyba."
"%1 cache type(s) enabled.","%1 typ(-y) vyrovnácej pamäte boli aktivované."
"An error occurred while enabling cache.","Vyskytla sa chyba počas aktivácie vyrovnávacej pamäte."
"%1 cache type(s) refreshed.","%1 typ(-y) vyrovnácej pamäte boli obnovené."
"An error occurred while refreshing cache.","Vyskytla sa chyba počas obnovy vyrovnávacej pamäte."
Dashboard,"Hlavný panel"
"We updated lifetime statistic.","Aktualizovali sme celkové štatistiky."
"We can't refresh lifetime statistics.","Nepodorailo sa obnoviť celkové štatistiky."
"invalid request","neplatná požiadavka"
"see error log for details","pozri záznam chýb pre bližšie informácie"
"Service unavailable: %1","Nedostupná služba: %1"
"Access Denied.","Prístup zamietnutý."
"You need more permissions to do this.","Nemáte dostatočné oprávnenie na požadovaný príkaz."
"No search modules were registered","Neboli registrované žiadne moduly vyhľadávania"
"Please make sure that all global admin search modules are installed and activated.","Uistite sa, že všetky globálne administratorské moduly vyhľadávania sú nainštalované a aktivované."
"You saved the account.","Účet bol uložený."
"An error occurred while saving account.","Pri ukľadaní účtu sa vyskytla chyba."
"You deleted the design change.","Zmena dizajnu bol odstránená."
"You can't delete the design change.","Nemôžete odstrániť zmenu dizajnu."
"Store Design","Dizajn obchodu"
"Edit Store Design Change","Upraviť zmenu dizajnu obchodu"
"You saved the design change.","Uložili ste zmenu dizajnu."
System,Systém
"Manage Stores","Správa obchodov"
"The database was backed up.","Databáza bola zálohovaná."
"We can't create a backup right now. Please try again later.","Nemôže vytvoriť zálohu práve teraz. Skúste znova neskôr."
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","Odstránením %1 sa neodstránia informácie spojené s %1 (napr. kategórie, produkty, atď), ale %1 nebude možné obnoviť. Doporučuje sa vytvoríť zálohu databázy pred odstránením %1."
"Something went wrong. Please try again.","Niečo sa pokazilo. Prosím skúste to znova."
"This store cannot be deleted.","Tento obchod nie je možné zmazať."
"You deleted the store.","Odstránili ste obchod."
"Unable to delete the store. Please try again later.","Nie je možné odstrániť obchod. Skúste to znova neskôr."
"This store view cannot be deleted.","Tento zobrazenie obchodu nie je možné zmazať."
"Store View","Zobrazenie obchodu"
"You deleted the store view.","Odstránili ste zobrazenie obchodu."
"Unable to delete the store view. Please try again later.","Nie je možné odstrániť zobrazenie obchodu. Prosím, skúste znova neskôr."
"This website cannot be deleted.","Túto skupinu obchodov(website) nie je možné zmazať."
"You deleted the website.","Odstránili ste skupinu obchodov(website)."
"Unable to delete the website. Please try again later.","Nie je možné odstrániť skupinu obchodov(website). Prosím, skúste znova neskôr."
"The website does not exist.","Skupina obchodov(website) neexistuje."
"Before modifying the website code please make sure it is not used in index.php.","Pred úpravou kódu skupiny obchodov(website) sa prosím uistite, že nie je používaný v index.php."
"The store does not exist","Obchod neexistuje"
"Store view doesn't exist","Zobrazenie obchodu neexistuje"
"Before modifying the store view code please make sure it is not used in index.php.","Pred úpravou zobrazenia obchodu sa prosím uistite, že nie je používaný v index.php."
"New ","Nový "
"All Stores","Všetky obchody"
"You saved the website.","Uložili ste skupinu obchodov(website)."
"The default store cannot be disabled","Predvolený obchod nieje možné zakázať"
"You saved the store view.","Uložili ste zobrazenie obchodu."
"An inactive store view cannot be saved as default store view","Deaktivované zobrazenie obchodu nemože býť použité ako prednastavené zobrazenie obchodu"
"You saved the store.","Uložili ste obchod."
"Something went wrong while saving. Please review the error log.","Niečo sa pokazilo počas ukladanie. Skontrolujte súbory so záznamom chýb."
"Last 24 Hours","Posledných 24 hodín"
"Last 7 Days","Posledných 7 dní"
"Current Month","Aktuálny mesiac"
YTD,"Tento rok"
2YTD,"Od začiatku minulého roku"
Order,Objednávka
"Order #%1","Objednávka #%1"
"Sorry, you need permissions to view this content.","Je nám ľúto, na zobrazenie tohto obsahu potrebujete oprávnenie."
"Next steps","Ďalšie kroky"
"If you think this is an error, try signing out and signing in again.","Ak si myslíte, že je to chyba, skúste sa odhlásiť a znova prihlásiť."
"Contact a system administrator or store owner to gain permissions.","Obráťte sa na správcu systému alebo majiteľa obchodu pre získanie oprávnení."
"previous page","predchádzajúca strana"
"Welcome, please sign in","Vitajte, prosím prihláste sa"
Username,"Meno používateľa"
"user name","meno používateľa"
Password,Heslo
password,heslo
"Sign in","Prihlásiť sa"
"No Data Found","Neboli nájdené žiadne údaje"
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.","Graf je vypnutý. Graf možete zapnúť <a href=""%1""> tu</a>."
"Select Range:","Vybrať rozsah:"
"Last Orders","Posledné objednávky"
